qId	type	component_or_param	metric_delta	window	finding	confidence	flags	description	implication	spawned	edgeRef
q-ledger	probe	成员 edd94ebc 的 ledger 行（§3 显示 DQ/—），零回测	Δ 不适用（零回测）。pre-wipe 页面（git a6195c6）记 edd94ebc epoch-2 obj 3.5961 / annual 374.38 / sharpe 14.77 / maxDD 14.77	—	harness/normalize-train.tsv、四个 .bak、normalize-train.rebuild.json、data/deferred.json、data/series-scan.json 里都没有 edd94ebc；data/pending-normalize.json 也没有排它。它的策略页没有 normalized: 块（15c36e0c 的有），所以 ledger 回退后 normalize-ledger-rebuild.js 无从重建它——§3 的「DQ/—」不是 DQ，是行丢失。它的代码是基类 + 三个入场过滤（昨日 high−low<0.1、成交额>8e5、收盘>MA5）+ top-2 + ETF-only，其中 MA5 用逐只 get_price 循环（每日 ~数百次调用），本台上可能落入 slow-skip	high	ledger-row-lost · not-in-pending · zero-cost-probe · per-security-loop	grep 全部 ledger/备份/队列；读 wiki/strategies/edd94ebc_ETF溢价回撤.md 与源码。本行无 algorithmId	关闭「edd94ebc 是 DQ」的读法：它从未在本台被量过。打开两件事：(1) normalize 应把它重新排进 pending-normalize（本轮不代做——归一化是 normalize 阶段的账，且它的 MA5 循环可能吃掉 20 分钟）；(2) 本轮 u-2（ETF-only）给它的 universe 一个可比读数，q-2 的 top-2 由 ep-imp-2 在本台重量，剩下的三个过滤器归因留给它有锚点之后	u-2, ep-imp-2	
baseline-e6	baseline	基类 15c36e0c 在 epoch 6 上的锚点（py2to3(源码) + live OVERRIDE；ledger 只有 epoch-2 行）	vs ledger epoch-2 行：obj 1.5642→0.8607（−0.7035）· annual 177.88→105.37（−72.5pp）· sharpe 8.87→5.93 · maxDD 21.46→19.30（−2.2pp）；逐年 2022 +83.14（maxDD 17.92 · vol 0.1994 · sharpe~ 3.05 · 上涨日 131/241）/ 2023 +133.78（maxDD 4.73 · vol 0.1553 · sharpe~ 5.48 · 151/242）；复利 1.8314 × 2.3378 = 4.281 ≈ 1 + 3.2095 ✓	train 2022-01-01→2023-12-31（729d / 484 交易日）	epoch 6 上基类年化从 178% 掉到 105%，obj 1.56→0.86，仍过闸（sharpe 5.93）。纯基金书，epoch 6 的股票费率 pin 是 no-op；咬到它的是 epoch 4 的两处——order_volume_ratio=0.05 与基金费率 0.00025/min 0 → 0.0003/min 5。费率差每边 0.00005、日频全换两年约 5%，解释不了 −72pp ⇒ 缩水的主体是参与上限：2e6 股的下界比 PT多策略 的 5e6 成交额更薄，一笔单吃掉薄基金一天成交量 5% 以上的成交在 epoch 2 里占了年化的四成。与 PT多策略 的 369→196 同一模式。两年同号为正，回撤几乎全在 2022（17.92 vs 4.73），2023 反而是更强的一年（+134 vs +83）——与 PT多策略 相反（+300 / +121）	high	anchor · participation-cap-bites · capacity-not-signal · both-years-positive · 2023-stronger · gate-pass（sharpe 5.93）	study/ETF溢价/baseline-e6.py（build-e6.js 生成）；algorithmId d738b8dc4694748e96bb12e146bda615；SUMMARY train 2022-01-01 2023-12-31 729 320.95 105.37 5.93 19.30 completed；3 JQ 分钟（used 123 → 126）；曲线 data/series/study_ETF溢价_baseline-e6__train__e6.json，yearsplit.js 逐年	关闭「引用 pre-wipe epoch-2 的 q-1 / q-2 数字」：参与上限改变的正是下界与集中度这两个旋钮本身，两个 sweep 都要在本台重跑（u-4 / ep-imp-1 / ep-imp-2 已排）。打开 realizability 的定量读法：任何 VAL 预期与整合层估值从 105% 起算而不是 178%，而且 5% 对开盘集合竞价上的薄 ETF/LOF 仍然偏宽（u-1 判决）	u-1, u-2, u-3, u-4	流动性溢价
u-1	probe	realizability：信号不动（09:30 = 日频台的开盘价），卖/买挪到 14:50（收盘价成交）；market_open 只存 g.order_fund，新增 market_exec	vs 锚点：obj 0.8607→−0.1676（−1.0283）· annual 105.37→4.95（−100.4pp）· sharpe 5.93→0.07 · maxDD 19.30→21.71（+2.4pp）· total 320.95→10.14 · 逐年 2022 +83.14→+6.16（maxDD 17.92→21.71 · 上涨日 131→113/241）、2023 +133.78→+3.72（4.73→14.94 · 151→120/242）	train 2022-01-01→2023-12-31（729d / 484 交易日）	同一信号、只把成交从开盘价挪到收盘价，两年从 +321% 变成 +10%（年化 5%、sharpe 0.07）。开盘时对净值的折价到收盘已经回归完毕——不是逐步回归、能在盘中分一杯羹，而是全部发生在开盘那口价与收盘之间。与 PT多策略 u-7（+772% → −29%）同一判决，本家族没有塌到负：等权 top-5 + 含 LOF 的 universe 在收盘价上是零收益而非负漂移（PT 的 |premium| 加权 top-10 最薄 band 是 −29%）。收益 ≈100% 是「在集合竞价的成交价上以全天成交量 5% 成交」这个撮合假设	high	realizability-DECISIVE · auction-print-only · both-years-≈0 · DQ（sharpe 0.07）· matches-PT多策略-u-7	variants/u-1_exec-1450.py（两处一个概念：run_daily 14:50 + market_exec）；algorithmId 16b838ae90a083329afec4d9ab2b9c87；SUMMARY train 2022-01-01 2023-12-31 729 10.14 4.95 0.07 21.71 completed；3 JQ 分钟（126 → 129）；曲线 data/series/study_ETF溢价_variants_u-1_exec-1450__train__e6.json	关闭一切以 TRAIN 头条为准的引用：105%（或 u-2 的 174%）是集合竞价成交价上的回测伪影，一个不能在开盘集合竞价里以那口价成交的账户拿到的是 ~0。整合层与 type 层不得把本家族当作可拼接的 sleeve；与 PT多策略 一起，「ETF 开盘价偏离净值」这个观察在两个家族上都成立、都不可实现。家族 status 建议 DQ-realizability，由人裁决。打开 ep-imp-3：既然开盘折价到收盘已回归，收盘时看到的折价是新的一次偏离——在收盘买、等次日开盘回归，是唯一可实现的形态，值得一跑	ep-imp-3	均值回归
u-2	ablation	universe：get_all_securities(['lof','etf']) → ['etf']（去掉 LOF），一行	vs 锚点：obj 0.8607→1.6193（+0.7586）· annual 105.37→174.40（+69.0pp）· sharpe 5.93→8.06 · maxDD 19.30→12.47（−6.8pp）· total 320.95→650.87 · 逐年 2022 +83.14→+237.92（maxDD 17.92→12.47 · 上涨日 131→161/241）、2023 +133.78→+123.45（4.73→9.81 · 151→160/242）	train 2022-01-01→2023-12-31（729d / 484 交易日）	去掉 LOF 后年化 +69pp、回撤 −6.8pp、sharpe 5.93→8.06：LOF 腿是拖累，不是来源。差额几乎全在 2022（+83 → +238），2023 持平略降（+134 → +123）。机制读法：ETF 的折价靠一级市场实物申赎（T+0）当日套平，所以开盘折价到收盘回归（u-1）；LOF 的申赎是现金、T+2 确认、有费用，折价是持续的而不是回归的——按「最深折价」排序，LOF 在 2022 熊市里长期占住 top-5 的位置却不回归，还带来更深回撤。CLAUDE.md 记的「LOF/QDII 净值发布滞后造成假折价」这个方向，若成立应表现为 LOF 贡献正收益（假折价被当真折价买入、次日净值更新后价格跟上）；实测相反	high	LOF-leg-is-drag · 2022-concentrated · gate-pass（sharpe 8.06）· improve-by-subtraction · obj-above-epoch-2-row（1.6193 vs 1.5642）	variants/u-2_etf-only.py（一行 diff）；algorithmId 12a97f62874d36580a6ac4479e0e4ac5；SUMMARY train 2022-01-01 2023-12-31 729 650.87 174.40 8.06 12.47 completed；3 JQ 分钟（129 → 131）；曲线 data/series/study_ETF溢价_variants_u-2_etf-only__train__e6.json	关闭「LOF 净值滞后是折价族收益来源」的公开问题（CLAUDE.md）：LOF 腿在本台上是 −69pp 年化的拖累，NAV 陈旧没有制造可赚的假折价。打开：(1) ETF-only 是本家族第一个 improve 候选（同一次测量，不重跑，登记为 ep-imp-0 adopted-on-TRAIN）；(2) 后续 improve 候选全部建立在 ETF-only 上（ep-imp-1/2/3 已重建）；(3) 兄弟家族 PT多策略 与成员 edd94ebc 本来就是 ETF-only，家族的 base 15c36e0c 是唯一含 LOF 的——家族最优点在 ETF 上。⚠ realizability 否决（u-1）不因此解除：+174% 仍是集合竞价成交价上的数	ep-imp-0, ep-imp-1, ep-imp-2, ep-imp-3	均值回归
u-3	ablation	edge test 均值回归 by mirror：同一 universe（lof+etf）/ 2e6 下界 / top-5 等权，排序降序 + premium>0（买最高溢价）	vs 锚点：obj 0.8607→−1.8746（−2.7353）· annual 105.37→−88.72（−194pp）· sharpe 5.93→−4.04 · maxDD 19.30→98.74（+79.4pp）· total 320.95→−98.72 · 逐年 2022 +83.14→−89.39（上涨日 131→57/241）、2023 +133.78→−88.05（151→41/242）；对数尺度 ln(4.21)=+1.44 vs ln(0.013)=−4.36，不对称：镜像亏得远多于基类赚的	train 2022-01-01→2023-12-31（729d / 484 交易日）	镜像两年亏掉 98.7%：买开盘价高于净值最多的 5 只基金，两年只有 20% 的交易日是涨的（基类 58%）。折价方向赚、溢价方向亏，符号承载全部信息。与 PT多策略 u-3（−91%，对数近似对称）不同，本家族不对称——lof+etf 的 universe 里最高溢价的名字是 QDII-LOF / 持续高溢价的 LOF（净值陈旧或额度受限），溢价方向除了回归还叠加了这些名字的清算式塌陷；这与 u-2「LOF 腿是拖累」互相印证	high	edge-test-ran · mirror-collapses · both-years-same-sign · 20%-up-days · asymmetric-vs-PT	variants/u-3_mirror.py（排序两个分支 + 过滤，三行一个概念）；algorithmId f0f115755e237a44c1c6320b10754f6a；SUMMARY train 2022-01-01 2023-12-31 729 -98.72 -88.72 -4.04 98.74 completed；3 JQ 分钟（131 → 134）；曲线 data/series/study_ETF溢价_variants_u-3_mirror__train__e6.json	均值回归 升 measured（镜像 −99%、基类 +321%、两年同号；与 u-1 合读：偏离的方向由 NAV 供给，回归发生在开盘价到收盘价之间）。关闭「薄基金 universe 本身有回弹」的读法。不再需要 PT多策略 那样的无 NAV 控制组：u-1 已把「拿掉信号时点」的读数给了（+10%），u-3 把「翻转信号」给了（−99%），两者夹住基类	none	均值回归
u-4	sweep	edge test 流动性溢价，流动臂：昨日 share-volume 下界 2e6 → 1e8（universe lof+etf、top-5 等权不动），一行	vs 锚点：obj 0.8607→0.0937（−0.7670）· annual 105.37→33.66（−71.7pp）· sharpe 5.93→1.04 · maxDD 19.30→24.29（+5.0pp）· total 320.95→78.52 · 逐年 2022 +83.14→+45.55（maxDD 17.92→23.79 · sharpe~ 3.05→1.24）、2023 +133.78→+23.46（4.73→14.68 · 5.48→0.79）；pre-wipe epoch-2 同臂 sharpe 1.10 / Δobj −1.45	train 2022-01-01→2023-12-31（729d / 484 交易日）	只留昨日成交量 ≥ 1e8 股的流动基金，同一折价规则只剩年化 34% / sharpe 1.04 / 回撤 24%——过不了 1.5 闸门，obj 归零。两年仍为正（+46 / +23）。与 epoch-2 的同臂读数（sharpe 1.10）一致：参与上限没有改变这条结论，因为流动基金上 5% 本来就不绑。折价信号在流动 ETF 上是一个弱的、DQ 的信号；做成 sharpe 6–8 的，是薄 universe	high	edge-test-ran · liquid-arm-DQ · both-years-still-positive · reproduces-epoch-2-reading · DQ	variants/u-4_floor-1e8.py（一行 diff）；algorithmId 193558f69502fe51dde5f73bc6811ee2；SUMMARY train 2022-01-01 2023-12-31 729 78.52 33.66 1.04 24.29 completed；3 JQ 分钟（134 → 136）；曲线 data/series/study_ETF溢价_variants_u-4_floor-1e8__train__e6.json	流动性溢价 升 measured，但带 ep-imp-1 的细化：下界 2e6→1e7 不丢收益（+7.8pp），2e6→1e8 丢掉全部——收益活在 1e7–1e8 股这一档，而不是最薄的 2e6–1e7（那一档在 5% 参与上限下本就填不满，还是 LOF 扎堆的地方）。关闭「把 sleeve 移植到流动基金」作为 improve：那是 obj 0.09 的书。整合层若要一个「可真实成交」的读数，是 34% / sharpe 1.04，不是 105% / 174%	none	流动性溢价
ep-imp-0	improve	采纳 u-2 的 ETF-only universe 作为候选（同一次测量，不重跑）	= u-2：vs 锚点 obj +0.7586 · annual +69.0pp · sharpe +2.13 · maxDD −6.8pp	train 2022-01-01→2023-12-31（729d / 484 交易日）	ETF-only 是本家族在 epoch 6 上第一个过闸且优于基类的候选（obj 1.6193 / sharpe 8.06 / maxDD 12.47），高于基类的 epoch-2 ledger 行 1.5642。改动是减法：去掉 LOF	high	adopted-on-TRAIN · shares-measurement-with-u-2 · zero-extra-cost	无新回测；候选文件 = study/ETF溢价/variants/u-2_etf-only.py（algorithmId 12a97f62874d36580a6ac4479e0e4ac5）	后续 improve 全部以 ETF-only 为起点（ep-imp-1/2/3 已按此重建，Δ 对 u-2 量）。它不是 VAL 候选的终点——ep-imp-1 若更高则由它去 VAL	ep-imp-1, ep-imp-2, ep-imp-3	均值回归
ep-imp-1	improve	ETF-only + share-volume 下界 2e6 → 1e7（epoch-2 q-1 甜点），对 u-2 一行	vs u-2：obj 1.6193→1.6733（+0.0540）· annual 174.40→182.21（+7.8pp）· sharpe 8.06→7.26（−0.80）· maxDD 12.47→14.88（+2.4pp）· total 650.87→694.16 ‖ vs 锚点 +0.8126 · 逐年 2022 +241.66（maxDD 14.88 · sharpe~ 4.38 · 上涨日 145/241）/ 2023 +133.75（8.76 · 3.93 · 141/242）	train 2022-01-01→2023-12-31（729d / 484 交易日）	收紧下界到 1e7 股：年化 +7.8pp、回撤 +2.4pp、sharpe −0.8，obj +0.054——刚过惰性阈（0.05），方向是可实现性变好的方向，但 epoch-2 的甜点（+0.47、回撤减半）没有了：那时最薄一档的收益是无参与上限的容量幻觉，现在 5% 上限已把它削掉，收紧下界只是不再买那些填不满的名字。2022 +242 / 2023 +134，两年都略高于 u-2	med	adopted-marginal · Δobj-at-inert-threshold · sharpe-down-maxDD-up · realizability-direction · gate-pass（sharpe 7.26）	enhance/candidates/ep-imp-1.py（对 u-2 一行 diff）；algorithmId 6d3c23cd0910a65ee99e25411d23563c；SUMMARY train 2022-01-01 2023-12-31 729 694.16 182.21 7.26 14.88 completed；1–2 JQ 分钟（136 → 137）；曲线 data/series/enhance_candidates_ep-imp-1__train__e6.json	关闭下界作为旋钮：1e7 与 2e6 在 obj 上几乎无差（+0.05），1e8 塌掉（u-4）——收益活在 1e7–1e8 股，下界在这个区间内怎么放都差不多。按 objective 规则 ep-imp-1 是 TRAIN 最优候选，本家族的一次 VAL 花在它上（而不是 u-2）；⚠ 采纳是 TRAIN 内的相对判断，realizability 否决（u-1）不变	val-imp-1-e6	流动性溢价
ep-imp-2	improve	ETF-only + top-5 → top-2（epoch-2 q-2 的单峰顶点），对 u-2 一行	vs u-2：obj 1.6193→1.0440（−0.5753）· annual 174.40→116.68（−57.7pp）· sharpe 8.06→5.68（−2.38）· maxDD 12.47→12.28（−0.2pp）· total 650.87→368.52 ‖ vs 锚点 +0.1833 · 逐年 2022 +170.29（maxDD 12.28 · 上涨日 153/241）/ 2023 +75.39（4.53 · 150/242）	train 2022-01-01→2023-12-31（729d / 484 交易日）	集中到最深折价的 2 只：年化 −58pp、回撤不变。epoch-2 的「N=2 单峰、+0.35」在本台上翻成 −0.58：5% 参与上限下最深的 2 只吃不下 100 万资金，第 3–5 名是填单宽度而不是分散（与 PT多策略 imp-2 的 top-10→top-5 −0.14 同一机制，本家族更陡因为从 5 到 2）。两年都低于 u-2（2022 +170 vs +238，2023 +75 vs +123）	high	rejected · fill-width-not-diversification · epoch-2-peak-gone · both-years-lower · gate-pass（sharpe 5.68）	enhance/candidates/ep-imp-2.py（对 u-2 一行 diff）；algorithmId de74d314cff720fb0d16a68e8688cb4b；SUMMARY train 2022-01-01 2023-12-31 729 368.52 116.68 5.68 12.28 completed；2 JQ 分钟（137 → 139）；曲线 data/series/enhance_candidates_ep-imp-2__train__e6.json	关闭集中度作为 improve（向下：填单宽度；向上 top-N>5 = 更浅的折价，u-4 已示范流动/浅折价名字只加回撤不加收益）。pre-wipe §4 的「edd94ebc 的 top-2 + 三个过滤器解释 ~2.0 gap」这条归因作废：top-2 在本台是负贡献，edd94ebc 的 epoch-2 头条（3.5961）应是无参与上限下 top-2 吃满薄基金成交量的容量幻觉，它有锚点之前不再对它归因	none	均值回归
ep-imp-3	improve	可实现形态：ETF-only + 信号与成交都在 14:50（last_price 换成 get_price(frequency='1m', count=1) 的 14:49 分钟收盘 vs T−1 净值，收盘价买入），对 u-2 两处一个概念	vs u-2：obj 1.6193→−0.8592（−2.4785）· annual 174.40→−31.43（−205.8pp）· sharpe 8.06→−1.33 · maxDD 12.47→54.49（+42.0pp）· total 650.87→−52.93 ‖ vs 锚点 −1.7199 · 逐年 2022 −42.35（maxDD 53.04 · 上涨日 101/241）/ 2023 −18.42（39.36 · 106/242）	train 2022-01-01→2023-12-31（729d / 484 交易日）	在收盘看到的折价、在收盘买、等次日回归：两年 −53%、回撤 54%，两年同号为负。收盘时仍然折价最深的 ETF 不是「新的一次偏离」，而是当天没被套平的——薄到实物申赎也不去套的名字，持有它们拿到的是薄 ETF 的负漂移（与 PT多策略 u-4 无信号最薄 10 只 −42% 同量级）。日频台上 14:50 读当日 1m 数据被 avoid_future_data 放行（run completed、有成交），这是一个可复用的读法	high	rejected · realizable-form-negative · both-years-negative · DQ · 1m-read-at-1450-works-on-daily-bench	enhance/candidates/ep-imp-3.py（对 u-2：run_daily 时点 + last_price 三行）；algorithmId a1e2a11510752be4f73c3d81abc922a2；SUMMARY train 2022-01-01 2023-12-31 729 -52.93 -31.43 -1.33 54.49 completed；3–4 JQ 分钟（139 → 143）；曲线 data/series/enhance_candidates_ep-imp-3__train__e6.json	关闭「可实现形态」这条线：开盘折价（u-1：到收盘已回归）与收盘折价（本条：次日不回归、还亏）两头都测了，机制只存在于集合竞价的成交价上，本家族没有任何可实现候选。improve 队列清空：universe（ep-imp-0 采纳）、下界（ep-imp-1 边际）、集中度（ep-imp-2 否决）、执行时点（ep-imp-3 否决）。家族 status 建议 DQ-realizability，与 PT多策略 同一裁决，由人定	none	均值回归
