qId	type	component_or_param	metric_delta	window	finding	confidence	flags	description	implication	spawned	edgeRef
b-0	probe	baseline reproduction	obj 0.1348 = ledger epoch-6 row exactly (annual 22.61 / sharpe 1.46 / maxdd 9.13)	train	baseline.py with the frozen OVERRIDE reproduces the epoch-6 ledger row to the basis point in 67s of backtest time	high		study/红利低频/baseline.py --window train	no rerun-drift control is needed for Δ > 0.01 obj, and at ~1 min/run every sweep in the queue is affordable within one day — run both arms of each sweep rather than one	none	
q-1	ablation	turnover rank (weight 3 -> 0)	obj 0.1348 -> -0.2658 (Δ -0.4006); sharpe 1.46 -> -0.20; maxdd 9.13 -> 26.38; annual 22.61 -> -0.20	train	top-10 by dividend-yield TTM alone earns nothing (annual -0.20%, maxdd 26.38%): the whole base result depends on the low-turnover rank	high		total_rank = dy_rank*3, all else identical	the 股息率 claim as worded (excess from the yield end, not the turnover rank) is refuted; the open question is WHY raw top yield fails — test whether ST/distressed names (yield inflated by a collapsed price) are the trap (q-7) and whether yield only works inside the low-turnover subset (q-8)	q-7,q-8	股息率
q-2	ablation	dividend-yield rank (weight 3 -> 0; payer pool kept)	obj 0.1348 -> 0.0028 (Δ -0.1320); sharpe 1.46 -> 0.55; maxdd 9.13 -> 11.28; annual 22.61 -> 11.56	train	low 20d turnover among dividend payers alone gives annual 11.56% at maxdd 11.28% — positive but far below the combination; removing the yield rank costs 0.132 obj	high		total_rank = turnover_rank*3, dy_ttm>0 filter kept	the two ranks are complementary, not additive: yield alone -0.2658, turnover alone 0.0028, both 0.1348. Improve ideas must keep BOTH ranks; the rank weights (3:3) become an on-mechanism sweep worth running (q-9)	q-9	流动性溢价
q-7	ablation	ST/退/次新 filter on the yield-only book	vs q-1: obj -0.2658 -> -0.2589 (Δ +0.0069); annual -0.20 -> -0.47; maxdd 26.38 -> 25.42. vs base Δobj -0.3937	train	removing ST/delisting/<250-day listings leaves yield-only as bad as before (annual -0.47%, maxdd 25.42%); the picks changed but the loss did not	high		q-1 plus is_st/name and listing-age filters in get_stock_pool	closed: ST/新股 hygiene is not what the turnover rank supplies, so i-2 (the same filter on the base) is not expected to move it much and drops to last. The value trap sits in non-ST high-yield names — the conditional test q-8 is now the direct question	none	股息率
q-8	isolate	yield rank inside 20d-turnover terciles (low: q-8a, high: q-8b)	q-8a obj -0.0663 (Δ -0.2011; annual 10.11, maxdd 16.74, sharpe 0.34); q-8b obj -0.4574 (Δ -0.5922; annual -13.06, maxdd 32.67, sharpe -0.72). 2022 cum: q-8a -3.26, q-8b -28.75, q-2 +14.26, bench -30.55	train	pure yield within the lowest-turnover tercile still falls well short of the base (-0.0663 vs 0.1348) while within the highest tercile it tracks the market crash (-0.4574); turnover level orders the results monotonically (high tercile < low tercile < rank-sum base)	high		payers split by turnover_20d tercile, top-10 by dy_rank within the tercile; two runs	the conditional 股息率 claim is refuted: a coarse low-turnover screen plus max-yield is not the mechanism — the base needs names EXTREME on turnover (q-2 alone +14.26 in 2022), so turnover rank is the load-bearing leg and yield a secondary sort. Opens q-9 (rank weights) as the direct test of how much yield adds on top of turnover	q-9	股息率
q-9	sweep	rank weights dy:turnover (1:1 base -> 3:1, 1:3)	3:1 obj 0.0570 (Δ -0.0778; annual 18.41, maxdd 12.71, sharpe 0.98); 1:3 obj 0.0532 (Δ -0.0816; annual 15.22, maxdd 9.90, sharpe 0.89); 1:1 0.1348	train	objective peaks at equal weights and falls ~0.08 symmetrically when either rank is tilted 3x, i.e. a single sharp peak rather than a plateau; with the full sweep endpoints q-1 (-0.2658) and q-2 (0.0028) the curve is -0.27 / 0.06 / 0.13 / 0.05 / 0.00	high	overfit-cliff	total_rank weights 3:1 and 1:3, two runs	the weight knob is closed for improve (both neighbours lose); and because 1:1 sits on a narrow peak, the base 0.1348 is likely partly an in-sample optimum — any VAL expectation should be discounted toward the 0.05 shoulder, and improve ideas must keep the 1:1 rank-sum untouched so their Δ is not a re-tune of this knob	none	流动性溢价
q-3	isolate	universe full-A -> CSI800 (000906) constituents	obj 0.1348 -> 0.0807 (Δ -0.0541); sharpe 1.46 -> 1.12; maxdd 9.13 -> 9.82; annual 22.61 -> 17.89	train	inside CSI800 the same rule keeps ~60% of the objective (annual 17.89% vs 22.61%) at an unchanged drawdown; the remaining ~0.054 comes from names outside the 800	high		get_stock_pool intersected with get_index_stocks(000906.XSHG) at each rebalance	the family is not a disguised 规模因子 book, so it is NOT integration-redundant with 小市值 on edge grounds — record that for type integration; but ~40% of the objective does sit in smaller names, so an improve idea that widens the small-cap tilt would be off-mechanism drift toward the saturated size factor and should be rejected at the gate	none	流动性溢价
q-5	sweep	stock_num 10 -> 5 / 20	5: obj 0.1203 (Δ -0.0145; annual 22.25, maxdd 10.22, sharpe 1.34); 20: obj 0.0774 (Δ -0.0574; annual 17.39, maxdd 9.65, sharpe 1.10)	train	5 and 10 names score alike (0.120 / 0.135) while widening to 20 costs 0.057 at the same drawdown: the return is concentrated in the top of the rank-sum, not spread across a broad high-yield/low-turnover sleeve	high		g.stock_num 5 and 20, two runs	closes breadth as an improve lever (widening dilutes, narrowing to 5 does not gain); together with q-8 it says the signal lives at the joint extreme, so improve ideas should sharpen the ranking inputs (better yield/turnover measures, i-1) rather than change book size	none	流动性溢价
q-6	sweep	rebalance phase offset +12 trading days	obj 0.1348 -> 0.1289 (Δ -0.0059); sharpe 1.46 -> 1.43; maxdd 9.13 -> 9.12; annual 22.61 -> 22.01	train	shifting the 25-day rebalance calendar by 12 days changes the objective by only -0.006 with an identical drawdown	high		counter offset g.phase=12, first day still rebalances	closed: the base result is not a lucky rebalance calendar, so the q-9 weight peak is the only fragility found so far and the rebalance cycle need not be re-swept by improve ideas	none	
q-4	regime	2022 vs 2023 split of the TRAIN curves (base, q-1, q-2, q-3)	base 2022 +21.38 (dd 9.14) / 2023 +23.79 (dd 7.61); q-1 yield-only 2022 -14.31 (dd 26.38) / 2023 +16.24; q-2 turnover-only 2022 +14.26 / 2023 +8.88; q-3 CSI800 2022 +14.61 / 2023 +21.20; bench -21.63 / -11.38	train (2022, 2023 sub-periods)	the base earns about equally in both years against a falling benchmark; yield-only fails ENTIRELY in the 2022 bear (-14.31, the whole 26% drawdown) and works in 2023, while turnover-only is the better of the two in 2022	med	curve-split, not independent re-runs (holdings carry over the year boundary)	stored daily curves chained within each calendar year, no backtest spent	locates the turnover leg as the bear-market defence and the yield leg as the 2023 return source, so the family is not a single-regime artifact; VAL (2024-25, a strong 红利 rally) will mostly exercise the yield leg — read a VAL result as evidence about yield, not about the turnover defence	none	流动性溢价
