qId	type	component_or_param	metric_delta	window	finding	confidence	flags	description
q-4	regime	基类全仓年度形态（etf 0.40 / small_cap 0.35 / white_horse 0.25 三分仓恒定混合，零代码改动）	2022 total 93.52 / sharpe 5.09 / maxdd 8.54；2023 total 28.20 / sharpe 1.59 / maxdd 9.23；全窗 total 146.11 / sharpe 3.21 / maxdd 9.61	2022 与 2023 两个一年子窗（对照 TRAIN 2022-01-01→2023-12-31）	假设被完全反转——2022 熊市才是收益年（+93.52%，sharpe 5.09），2023 震荡年是拖累年（+28.20%，sharpe 1.59），不均衡约 3.3×；且两年 maxDD 均低于全窗 9.61%（8.54 / 9.23），最深回撤跨 2022/2023 年界，因 2023 子窗 9.23% 仅差 0.38pp，该段最可能峰值立于 2022 年末、主体落在 2023，故回撤负担不是 2022 熊市事件	high	⚠零滑点高估 / regime-specific / hypothesis-inverted / falsifier-B-未触发(9.23 vs 9.61，差 0.38pp) / 子窗annual与全窗annual不同量纲 / 跨年回撤定位为med推断	不造 variant：冻结快照 study/多因子ML/baseline.py 原样跑两个一年子窗（--start/--end 2022 与 2023），读 SUMMARY 行 total/annual/sharpe/maxdd。复利交叉校验 1.9352×1.2820=2.4809（148.09%）vs 实测全窗 146.11%，残差 +1.98pp 由子窗各自从空仓重建三仓解释，量级小到不影响年度归因。读数纪律：子窗 annual% 是 total% 按 364 天再年化（annual≈total），绝不与两年 56.98% 同量纲横比；一年期 sharpe 噪声大，子窗 gate/objective 仅描述性，不与 TRAIN 的 0.4737 排名。⚠ 零滑点台 + small_cap 仓 6 只微盘周度调仓含盘中涨停退出 → 两年绝对水平均偏乐观，但 2022-vs-2023 的相对形态受影响远小，可作后续消融的分母
q-1	ablation	small_cap 分仓权重 0.35 → 0.0（variants/q-1.py 第 29 行，单行 diff 已核）	total 146.11→81.49（−64.62pp）/ annual 56.98→34.77（−22.21pp）/ sharpe 3.21→2.16（−1.05，跌破 2.5 闸）/ maxdd 9.61→8.19（−1.42pp，反而改善）/ 原始分 annual−maxdd 0.4737→0.2658（−0.2079），但正式 objective = DQ（harness §4 sharpe 闸）	train 2022-01-01→2023-12-31（729 天，全窗）	small_cap 仓在这个恒定混合权重下同时是组合的收益发动机与闸门守门员：去掉它总回报少 64.62pp、年化 −22.21pp，且 sharpe 3.21→2.16 直接 gate FAIL（提问官未预见的闸损）；每单位混合权重贡献 184.6 total%/unit，是 etf（91.3）的两倍多。同时最大回撤不升反降 1.42pp，说明它是回撤的来源之一而非被其它仓保护的对象	high	⚠零滑点高估 / idle-cash-confound(35% 权重归零后闲置吃 0 收益，不再分配) / bundled-machinery(权重归零使 schedule_tasks 整块跳过该仓的 1/4 月日历轮换与三档止损，Δ 是「仓+其风控机器」) / gate-loss-DQ / hypothesis-survived(证伪项 Δannual > −8pp 未触发，实测 34.77% 落在预测 22–35% 带最上沿)	cp baseline.py → variants/q-1.py，只改第 29 行 'small_cap': 0.35 → 0.0，diff 核验为单行；node utils/strategy-post-backtest.js --window train，读 SUMMARY 行。读数纪律：Δannual = 该仓边际损益 + 这 35% 资金失去的复利之和，措辞必须是「该仓位在其固定混合权重下对组合的贡献」，绝不可读成「该仓策略自身的收益能力」。同时记录原始分 0.2658（供连续性对比）与正式 DQ（供闸门口径），二者不可混用。⚠ small_cap 是全策略换手最高的腿（6 只微盘 + 周度调仓 + 盘中涨停/止损退出），零滑点台使其 +64.62pp 贡献系统性偏高，真实成本下移除它的 Δannual 会小于 −22.21pp
q-2	ablation	etf 分仓权重 0.4 → 0.0（variants/q-2.py 第 28 行，单行 diff 已核）	total 146.11→109.59（−36.52pp）/ annual 56.98→44.85（−12.13pp）/ sharpe 3.21→3.10（−0.11）/ maxdd 9.61→7.76（−1.85pp，反而改善）/ objective 0.4737→0.3709（−0.1028，gate PASS→PASS）	train 2022-01-01→2023-12-31（729 天，全窗）	假设被证伪且方向反转——etf 仓不是回撤压制器：maxDD 没有抬到预测的 14–20%，反而降了 1.85pp。它权重最大（0.40）却贡献最少（36.52 total%，91.3 total%/unit-weight），且去掉后 sharpe 仍 3.10 稳过闸，是这个组合在当前 objective 下最「割得起」的一条腿。与 q-1 合看：去掉任一仓 maxDD 都下降（−1.42 / −1.85pp），按闲置现金归一化后分别为 −0.0406 / −0.0463 pp per idle-weight-pp，两者接近且都可由纯现金稀释解释，任一仓都没有留下可归因的对冲残差 → 全窗 9.61% 的回撤更像三仓叠加的涌现属性（各仓回撤时段重叠相加），而非某条腿失职；「跨资产 ETF 仓是减震器」的叙事就此终结	high	⚠零滑点高估（q-2 变体的剩余 60 权重点中 35 点是微盘，成交假设比基线更不真实，109.59% 同样不可实现）/ idle-cash-confound(40% 闲置，且 sharpe 会被现金稀释人为抬高，故 sharpe 未跌破 2.5 不构成对减震器假设的辩护) / hypothesis-falsified-and-reversed / emergent-drawdown 为当前最佳读法而非已证明	cp baseline.py → variants/q-2.py，只改第 28 行 'etf': 0.4 → 0.0，diff 核验为单行；node utils/strategy-post-backtest.js --window train。判据按问题设计取 maxDD（非 sharpe）。现金阻尼归一化：ΔmaxDD ÷ 闲置权重点 = q-1 −1.42/35 = −0.0406、q-2 −1.85/40 = −0.0463 pp/idle-pp；真正的减震器需先克服约 1.6pp 的现金阻尼才能显形，etf 没有。副作用：权重归零使 schedule_tasks 跳过 etf_trade 的 9:31 调度。etf 自身的边际损益比 36.52 更小（差额未知，被闲置资金的复利损失吸收），措辞须为「该仓在固定权重下对组合的贡献」。回撤控制的真正来源仍未定位——q-3（1/4 月日历轮换）与三档止损（未测）是剩余候选
q-3	ablation	SMALL_CAP_CONFIG['pass_april'] True → False（variants/q-3.py 第 62 行，单行 diff 已核）＝取消「1 月与 4 月把 small_cap 仓整体换成 600036.XSHG 招商银行」的日历轮换	total 146.11→126.77（−19.34pp）/ annual 56.98→50.67（−6.31pp）/ sharpe 3.21→2.73（−0.48，距 2.5 闸只剩 0.23）/ maxdd 9.61→13.39（+3.78pp）/ objective 0.4737→0.3728（−0.1009，gate PASS→PASS）	train 2022-01-01→2023-12-31（729 天，全窗）	本家族第一个被正面测到的回撤压制组件，而且它是一条纯日历规则：关掉后 maxDD 从 9.61% 抬到 13.39%（+3.78pp），同时总回报少 19.34pp——即该规则既买回撤保护也卖收益，两侧都要付账。预注册证伪项要求同时满足「maxDD 抬升 < 1.5pp」且「Δannual < 3pp」，两个子句都不成立，故证伪项未触发、规则不是装饰件。它是全套问题里唯一无闲置资金混淆的干净消融（开关两侧 small_cap 仓都按 total_value×0.35 满额建仓，只改持有什么），所以这 +3.78pp 是干净的因果量。⚠ 但其样本内支撑只有 n=4 次事件（2022-01/2022-04/2023-01/2023-04），基类 9.61% 低回撤里约 3.8pp 与约 19pp 总回报挂在一张硬编码月份表上，「低回撤稳健」的任何主张都必须带这条	high	⚠零滑点高估 / overfit-risk（硬编码月份表，样本内 n=4 事件，是全策略最可疑的过拟合部件）/ no-idle-cash-confound（唯一无闲置资金的干净消融，两侧仓位占用相同）/ hypothesis-survived（证伪项两个子句均未满足）/ maxDD 13.39% 落在预测 13–19% 带的最下沿、Δobjective −0.1009 比预测的 −0.15~−0.30 温和（因规则同时也在卖收益）/ narrative-corrected（是「微盘→大盘银行」标的轮换，不是空仓降仓；源码注释误称 600036 为 ETF）/ sharpe 2.73 距闸仅 0.23	cp baseline.py → variants/q-3.py，只改第 62 行 'pass_april': True → False，diff 核验为单行；node utils/strategy-post-backtest.js --window train，读 SUMMARY 行。机理已在源码核实：is_no_trading_month()（第 1148–1154 行）在 '01-01'<=today<='01-30' 或 '04-01'<=today<='04-30' 时返回 True，即 1 月与 4 月都触发（配置键名 pass_april 有误导性）；触发时 small_cap 仓买 no_trading_buy=600036.XSHG（招商银行，非 ETF）。关掉后 is_no_trading_month 恒 False → g.small_cap['no_trading_today'] 恒 False → small_cap_check_no_trading_month() 不再切标的，1/4 月照常持 6 只微盘。措辞纪律：该规则是「日历驱动的 微盘→大盘银行 轮动」，不是「日历驱动的降仓/避险」，Δ 里没有现金腿。⚠ 零滑点台上 6 只微盘的周度调仓与盘中退出被系统性高估，故 −19.34pp 的收益侧代价在真实成本下会更小、而 +3.78pp 的回撤侧收益方向不变但量级未知
q-5	ablation	white_horse 分仓权重 0.25 → 0.0（variants/q-5.py 第 30 行，单行 diff 已核）；附带纯纸面可加性检验（复用 q-1/q-2/q-5 三行，0 次额外回测）	total 146.11→119.72（−26.39pp）/ annual 56.98→48.31（−8.67pp）/ sharpe 3.21→3.12（−0.09）/ maxdd 9.61→7.95（−1.66pp，反而改善）/ objective 0.4737→0.4036（−0.0701，gate PASS→PASS）	train 2022-01-01→2023-12-31（729 天，全窗）	两个结论。(a) white_horse 确是最弱的一条腿：Δobjective 仅 −0.0701，预注册证伪项「|Δobjective| > 0.20」未触发，假设存活；贡献 26.39 total%（105.6 total%/unit-weight），补齐三仓分解后排序为 small_cap（64.62，184.6/unit）> etf（36.52，91.3/unit）> white_horse（26.39，105.6/unit）——注意 etf 权重最大却贡献最少。(b) 可加性假设被证伪、方向与预设相反：R=146.11、ΣA_i=310.80、2R=292.22 → 残差 +18.58pp（等价地 Σc_i=127.53 < R=146.11），即三仓的去一仓边际贡献之和 SMALLER than 整体，是 SUB-additive（次可加）；预注册期望是残差≈0（可加）或显著为负（正向复利耦合），观测到的是正号。乘法零假设同向（∏(G/G_i)=1.784 vs G=2.461），故符号不是线性账本的记账假象。实务含义：三仓不可分离，c_i 只能读作「该仓在此组合语境下的贡献」，绝不能读作「该仓独立运行能赚多少」	high（Δ 与最弱腿判定）/ med（次可加的方向；量级不可信）	⚠零滑点高估 / idle-cash-confound（25% 权重归零后闲置吃 0 收益、不再分配）/ bundled-machinery（schedule_tasks 第 184 行守卫整块跳过该仓的月度大小盘 regime 信号、周度反弹清仓、每日调整与三次盘中止损）/ hypothesis-survived-A（|Δobjective|>0.20 未触发）/ hypothesis-falsified-B（可加性残差显著为正 → 次可加，与预设的「≈0 或负」相反）/ additivity-contaminated（每个 A_i 都被闲置现金压低，修正后残差只会更正，故方向稳健、量级不稳健，只作耦合强弱的定性指标）/ ΔmaxDD 归一化 −1.66/25 = −0.0664 pp per idle-weight-pp，高于 q-1/q-2 的 −0.0406/−0.0463，但三点无误差带，不足以支持「white_horse 增加风险」的说法	cp baseline.py → variants/q-5.py，只改第 30 行 'white_horse': 0.25 → 0.0，diff 核验为单行；node utils/strategy-post-backtest.js --window train。可加性检验按设计做在 total% 上（objective=annual−maxdd 对 maxdd 与 sharpe 闸非线性，Δobjective 不可相加）：c_i = R − A_i；可加则 Σc_i ≈ R 即 ΣA_i ≈ 2R。实测 ΣA_i − 2R = 310.80 − 292.22 = +18.58pp。稳健性检查用乘法零假设（各仓按 total_value×权重 每日定仓，几何口径更贴切）：G=2.4611，G_sc=1.8149、G_etf=2.0959、G_wh=2.1972，各仓隐含因子 G/G_i = 1.3560/1.1743/1.1201，连乘 1.7837 < G=2.4611，与线性口径同向。读数纪律同 q-1/q-2：Δ 是「仓 + 其整套机器 + 这笔资金失去的复利」的合成量，措辞只能是「该仓在其固定混合权重下对组合的贡献」。ΔmaxDD 反降与 q-1/q-2 同型，先归因于「四分之一仓位变现金」的机械减震，不得写成「white_horse 增加风险」
q-6	regime	etf 分仓权重 0.4 → 0.0（复用 variants/q-2.py，无新变体文件），只把窗口换成 2022 单年子窗	2022 子窗：total 93.52→53.80（−39.72pp）/ annual 93.87→53.98 / sharpe 5.09→3.66（−1.43）/ maxdd 8.54→7.76（−0.78pp，反降）；对照全窗 c_etf = +36.52pp	2022-01-01→2022-12-31（364 天），对照同窗基线（q-4 已跑）	etf 腿的贡献在时间上极度集中，全窗读数被推翻：c_etf(2022) = +39.72pp > 全窗 c_etf = +36.52pp → 集中比 1.088（约 109%），即该腿把两年的全部贡献都在 2022 一年内交付。乘法口径同向：2022 腿效应 ×1.258（+25.8%），倒推 2023 腿效应 ×0.933（−6.7%，是拖累）。故 etf 不是「最不出活的一条腿」这么简单，而是 2022 单年赢家 + 2023 净拖累，在 0.40 固定权重下不构成稳定分散器，也不是减震器（同窗 maxDD 仍反降 0.78pp）。第二个结论同等重要：预注册 Case A（2022 掉到 50% 以下）未成立，Case B 成立——去掉 ETF 腿仍有 +53.80% / maxDD 7.76% / sharpe 3.66，即 2022 异常收益里约 58% 与 ETF 腿无关，落回 small_cap 微盘腿 + 零滑点微盘成交，而这恰是成本偏差最大的部分	high（集中方向与 Case B 判定）/ med（1.088 比值的精确量级，受闲置现金与子窗重建影响）	⚠零滑点高估（残余 58% 的 2022 异常正好落在换手最高的微盘腿，绝对水平不可实现）/ regime-specific（结论限 2022）/ idle-cash-confound 40%（闲置不再分配，措辞须为「该腿在其固定 0.40 混合权重下的贡献」）/ full-window-reading-reversed（全窗把它读成「最弱但中性」的腿是错的，实为单年赢家+次年拖累）/ 子窗 annual% 为 364 天再年化，绝不与两年 56.98% 同量纲	无新文件：直接复用 variants/q-2.py（etf=0.0，单行 diff 已核）跑 --start 2022-01-01 --end 2022-12-31，与 q-4 已有的 2022 基线子窗对照。集中度算法：c_etf(2022)=93.52−53.80=39.72pp，与全窗 c_etf=146.11−109.59=36.52pp 相除得 1.088。乘法口径：2022 (1+0.9352)/(1+0.5380)=1.258；全窗 2.4611/2.0959=1.1743，倒推 2023 因子 1.1743/1.258=0.933。⚠ 两个口径都带 40% 闲置现金污染，方向（集中于 2022、2023 为拖累）稳健，量级不可信。预注册分支：Case A 若 2022 去 ETF 后掉到约 50% 以下则 ETF 腿是 2022 异常的主因；实测 53.80% → Case B，异常的主体不在 ETF 腿
q-audit	probe	baseline.py 全文只读 look-ahead / 未来函数审计（0 次回测，无变体）	无 Δ（零回测成本）	不适用（源码审计，覆盖 TRAIN 2022-01-01→2023-12-31 所用的全部数据访问路径）	未发现确证的未来函数——这是一条真结果，不是「没查出问题」。逐条核实为干净：两处 frequency='1m' 调用（约 713-718 行 @14:25/14:55、1041-1042 行 @14:00/14:30/14:50）都传 end_date=context.current_dt，JQ 分钟线以结束分钟标注，count=1 取到的是刚走完的那一分钟，非前视，且第 85 行 avoid_future_data=True 另有兜底；没有任何日频调用使用 end_date=context.current_dt；attribute_history（351/395/1006 行）结构上取不到当前 bar；208-214/222-228/653-659/814/823/1110-1112 行均用 context.previous_date；get_fundamentals（536/551/795/811/962/983/994 行）不传 date，JQ 默认 T-1 且按公告日对齐，无财报滞后泄漏；ETF 溢价（450-454 行）用 T-1 收盘价与 T-1 单位净值，是全文最规范的一处；white_horse_signal（777-825）与 assess_market_temp（1004-1010）均排除当日。三条可疑项改用机制解释而非泄漏：(A) 硬编码 14 只 etf_pool（34-49 行）含 159525/159628/159652/513130/511090 等 2021+/2022+ 上市代码，是以 ≥2023 视角组装的池，397 行长度守卫对未上市代码静默 continue，故 2022 段实际跑在一个「事后剪枝」过的池上，其 2022 可交易成员（159985 豆粕 / 501018 南方原油 / 161226 国投白银 / 518880 黄金）恰与该年赢家高度重合，q-6 已量化其体量为 +39.72pp、约 109% 集中在 2022 一年；foreign_etfs（76-81 行）同性质。(B) 冻结评测台频率为每天（harness.md §2，strategy-post-backtest.js:145 从不覆盖，JQ 结果行确认「每天」），日线一天只有一根 bar，故 9:31/10:00/14:25/14:50 的 run_daily 全部落在同一根 bar 上，get_current_data().last_price 与 position.price 都解析为当日收盘、市价单也按同一收盘成交 → 四档止损坍缩成一次收盘检查（永远不会被「盘中砸坑、收盘收回」洗出去），且 JQ 按日收盘净值算回撤 → 盘中回撤在结构上不可见。(C) 动量排名把当前价拼进序列（355/410 行 np.append(..., last_price)），本身不含成交后信息、非泄漏，但在日线台上意味着所谓「9:31 轮动」实为「按收盘排名、按同一收盘买入」。总判定：前视不足以解释 +93.52%/8.54% 的 2022 结果，该数字是不可实现而非造假，由 (a) 事后组装的 ETF 池、(b) 抹掉盘中洗盘并隐藏盘中回撤的日线台、(c) 微盘腿零滑点、(d) n=4 的 1/4 月日历规则四者合成	high（逐行核对的干净项与 A/B/C 的机制判定）/ med（依赖 JQ 平台语义的两处：get_fundamentals 默认 T-1 的公告日对齐、get_industry 不传 date 时的 SW 追溯重分类）	no-confirmed-leak（负面审计结论，须正面记录）/ hindsight-universe-selection（Finding A，最强可疑项）/ daily-bar-execution-fiction（Finding B，系统性乐观而非前视）/ intraday-drawdown-invisible / ⚠零滑点高估 / overfit-risk（n=4 日历规则，见 q-3）/ correction-a30641fb（本仓库先前笔记误述：wiki/families/小市值.md:106 记载姊妹策略 a30641fb 的审计结论是「未发现未来函数」，它是被改判家族并标注零滑点高估，并非审计失败；任何「a30641fb 审计不过」的说法都要纠正）/ probe-零回测	纯只读审计，无回测、无变体文件。方法：对全文所有数据访问点逐个判定「能否取到决策时点之后的信息」——(1) 分钟线看 end_date 与 JQ 的 bar 标注约定（以结束分钟标注）；(2) 日频看是否用 previous_date / attribute_history（结构上排除当前 bar）；(3) get_fundamentals 看是否传 date 及平台的公告日对齐；(4) 硬编码标的列表逐个核上市日期与回测窗口的关系（这是本次唯一逮到的实质问题，且被一句静默的长度守卫 continue 掩盖，回测不报错）；(5) 核对评测台实际运行频率，再判断 run_daily 的盘中时点在该频率下是否真的存在。次要项：get_index_stocks 不传 date（522/905/968 行）——指数成分调整提前公告，合规，但与 782/798 行传 dt_last 不一致；get_industry 不传 date（558 行）——JQ 对申万重分类是追溯生效，属 suspicious-minor，只影响排序并列的打破方式。措辞纪律：本条不得写成「策略作弊」，也不得写成「已证明无泄漏」——正确表述是「在全文逐点核对下未发现确证的未来函数，头条数字的不可实现性由 A/B/C + 零滑点 + n=4 日历共同解释」
q-e6-0	probe	评测台 epoch 2 → epoch 6（策略主体逐字不变，仅换 OVERRIDE：股票成本 pin 3bp/3bp/千一印花/5元、基金成本 pin、order_volume_ratio 0.05、avoid_future_data）	total 146.11→132.55（−13.56pp）/ annual 56.98→52.58（−4.40pp）/ sharpe 3.21→3.01（−0.20）/ maxdd 9.61→8.55（−1.06pp）/ objective 0.4737→0.4403（−0.0334，gate PASS→PASS，1.5 闸余量 1.51）	train 2022-01-01→2023-12-31（729 天）	base 在当前台上存活：pin 掉作者的 1bp 股票佣金与自定基金成本并加 5% 成交量上限后，年化只少 4.40pp、sharpe 仍 3.01，回撤反降 1.06pp；epoch-2 头条被高估约 0.03 objective，量级小。该成员此前 epoch-6 复测在 30min 上限 slow-skip，本次 324s 完成——那次 slow-skip 是平台排队而非策略本身慢	high	⚠零滑点高估（台本身仍零滑点）/ 未写账本（研究执行器不写 normalize-train.tsv；deferred 池仍持有该行）/ 序列已存 data/series/study_多因子ML_baseline-e6__train__e6.json	study/多因子ML/baseline-e6.py = py2to3(strategies/…d02cde29.py)+strategy-normalize OVERRIDE，与旧 baseline.py 在 OVERRIDE 之前逐字相同；strategy-post-backtest --window train --max-poll-min 60，algorithmId a4a965603840d25cf2a77476c9b2f378	epoch-2 的 7 条发现（q-1…q-audit）的方向可以沿用为先验，但其绝对数字不得再引用；家族 bestObjective 应以 0.4403（epoch 6）替换 0.4737，待归一化器把该行正式写回账本。deferred 池里的 d02cde29 用 30min 以上上限一次即可完成，不需要更高档	q-e6-1	规模因子
q-e6-1	ablation	small_cap 分仓权重 0.35→0.0（variants/q-e6-1.py 第 29 行，单行 diff，基于 baseline-e6）	total 132.55→74.25（−58.30pp）/ annual 52.58→32.05（−20.53pp，占年化 39%）/ sharpe 3.01→1.99（−1.02）/ maxdd 8.55→7.54（−1.01pp）/ objective 0.4403→0.2451（−0.1952，gate PASS→PASS）	train 2022-01-01→2023-12-31（729 天）	微盘腿以 35% 权重供给 39% 的年化（166.6 total%/unit-weight，其余两腿合计 114.2），是最大单一来源，但不是唯一来源：去掉它组合仍年化 32.05%、sharpe 1.99 过 1.5 闸。预注册证伪项（Δannual < 年化 1/3）未触发；更强的预测（失去过半、跌破闸）也未成立。epoch 2 的同一消融（q-1）读成「跌破闸」只因当时闸是 2.5	high	⚠零滑点高估 / idle-cash-confound（35% 闲置不再分配，剩余两腿的真实单位产出被低估，故「非唯一来源」的判定方向稳健）/ hypothesis-partially-survived（证伪项未触发；强预测未成立）/ epoch-6 台	baseline-e6.py → variants/q-e6-1.py 只改第 29 行；strategy-post-backtest --window train --max-poll-min 60。单位权重：58.30/0.35=166.6；74.25/0.65=114.2。Δannual/annual=20.53/52.58=0.390	规模因子 edge 升为 measured，但 claim 收窄为「最大单一来源」，不再写「唯一供给」；因此本家族与 [[小市值]] 的冗余是部分冗余而非完全冗余，剩余 ~32% 年化来自 etf+white_horse，其中 etf 部分已知集中于 2022 且池为事后组装（q-6/q-audit），故剩余收益的可信度低于微盘腿。改进方向上：加大微盘权重只会把本家族变成更差的小市值副本（且放大零滑点最失真的那条腿），该方向关闭	none	规模因子
q-e6-2	regime	etf 分仓权重 0.40→0.0（variants/q-e6-2.py 第 28 行，单行 diff，基于 baseline-e6），只跑 2023 单年，对照同窗 baseline-e6	2023：total 26.94→35.37（+8.43pp）/ sharpe 1.56→2.49（+0.93）/ maxdd 8.25→4.99（−3.26pp）；c_etf(2023) = −8.43pp	2023-01-01→2023-12-31（364 天，TRAIN 内子窗）	在事后池偏差最小的 2023 年，etf 腿是净拖累：去掉它（且 40% 资金闲置吃零）收益 +8.43pp、sharpe +0.93、回撤 −3.26pp，三个指标同向变好。与 epoch-2 q-6 的倒推（2023 ×0.933）在 epoch 6 上直接测得一致	high	⚠零滑点高估 / idle-cash-confound（40% 闲置却仍变好，故方向稳健、量级偏保守）/ regime-specific（仅 2023）/ hypothesis-falsified / 一年期 sharpe 噪声大，仅作方向	两次回测均 --start 2023-01-01 --end 2023-12-31，epoch 6：baseline-e6.py → 26.94/27.02/1.56/8.25；variants/q-e6-2.py → 35.37/35.48/2.49/4.99	动量 edge claim 证伪（status → refuted）：etf 腿在 TRAIN 内的全部贡献来自 2022 一年，且该年池为事后组装，不构成可引用的动量 edge；家族页 realism 必须写明 TRAIN objective 0.4403 里有一段是 2022 事后池收益。不开「删 etf 腿」的 improve：epoch-2 q-2 显示全窗删 etf 会降 TRAIN objective，而按 2023 子窗挑选即是反向后视偏差，也不能拿 VAL 来做这个选择。edge 层面本家族剩下的唯一 measured edge 是规模因子	none	动量
