qId	type	component_or_param	metric_delta	window	finding	confidence	flags	description	implication	spawned	edgeRef
q-dup	probe	家族成员构成（e4eb8dca vs 7d1012a5 源码 diff）	n/a（零回测；两成员 §3 读数同为 sharpe -0.49 / maxDD 9.00）	n/a	「4 成员」实为 2 份代码体：e4eb8dca 与 7d1012a5 只差 log 字符串与空行，is_buy/is_sell/is_loss 条件、g.stokcs_pool、hold_count、分仓行全部逐字节相同 ⇒ §3 里那两行完全一致的读数是正确的、不是快照 bug；「0 gate-pass / 4 members」应读作「2 份不同代码体、0 过闸」，家族的独立证据量比成员数少一半	high	member-count-inflated / zero-cost-probe	对两份 clone 源码做 diff，逐条比对交易条件/选股池/参数/分仓表达式；另对 87ab0122 与 7552f0ef 做侦察（同一套挂钟网格搜索构建、后者换了一个 3 只票的池）。无回测、零成本	（2026-09-22 epoch-6 轮补记）关闭「4 成员」的读法：家族只有 1 份可测代码体（7d1012a5 = e4eb8dca）；87ab0122 / 7552f0ef 是挂钟网格搜索（calculate() 以 datetime.datetime.now() 为终点取 250 日），不是基类机制的变体、也不可在台上测——不建变体、不排队。	baseline-e6	
baseline	baseline	冻结基类锚点（study/三进兵/baseline.py）	total +0.14% / annual +0.07% / sharpe -0.4878 / maxDD 9.0050%（窗 2022-12-09→2023-12-06）/ DQ	train 2022-01-01→2023-12-31（484 交易日）	逐位复现归档 §3 行（全项目第 5 次连续复现）⇒ 那行历史读数可信、与当前 harness 同一纪元；新信息是 27 笔平仓（5W/22L、win 18.52%、P/L 1.0548、avg_trade_return +0.1976%）、turnover 0.007809（全项目最低）、beta 0.1371、vol 0.0805（基准 0.1722）、benchmark -30.55%、excess_return +0.4419、information 1.0300 ⇒ 这是一本几乎全现金、却确实在交易的书	high	DQ-all-arms / zero-slippage-immaterial-here / hypothesis-refuted / avg_position_days-unreliable	跑冻结 baseline.py + 成本 OVERRIDE 于 TRAIN；与 §3 归档行比对。⚠ 早先「annual 0.00 ⇒ 未成交回测」的假设被正面证伪：它成交 27 笔，0.00 vs 0.07 只是渲染/取整差异（raw 0.00072）。⚠ objective 在本家族每条臂都 DQ、不携带信息，全部结论改由 annual/sharpe/maxDD + 回撤窗 + 笔数 W/L + P/L + turnover + vol/beta 承载	（2026-09-22 补记）打开 epoch-6 锚点 baseline-e6：源码自设成本与 bench 相同，预期逐位复现；之后 q-1..q-4 可作同台读数引用。	baseline-e6	
q-1	isolate	去掉全部择时（trade_func 换成买入持有同一手挑篮子）	annual -28.71pp（→ -28.64%）/ sharpe -0.5640（→ -1.0518）/ maxDD +41.36pp（→ 50.369%，窗 2022-01-04→2023-12-27 = 整窗）/ 0 笔平仓 / beta 1.2360 / vol 0.3103	train 2022-01-01→2023-12-31	两条发现，第二条更重要：(1) 这个手挑篮子在 TRAIN 上本身是**后见之明选出来的输家** —— B&H -47.96% 差于基准的 -30.55%，回撤覆盖全部 729 天 ⇒ 没有可供任何 overlay 收割的上行发动机，家族天花板由此定死；(2) **预注册的「EMA overlay 只是纯仓位缩放器」被证伪** —— 纯缩放器在暴露 e 下 sharpe 应保持 -1.05 不变，实测基线是 -0.488，即比「同一条 B&H 路径按 e≈0.26 等比缩放」的朴素版本高 +0.56 sharpe、约 +12.6pp 总回报（朴素版 ≈ -12.5% vs 实测 +0.14%）⇒ **overlay 携带真实的、为正的择时信息，只是约为闸门要求的 1/6**	high	falsified-prediction / hindsight-basket / DQ-all-arms / composite-ablation	只替换 trade_func 函数体（4 插入 / 30 删除）：initialize、g.stokcs_pool、benchmark、helper 函数与成本 OVERRIDE 逐字节未动 ⇒ 唯一变量是「有无择时」。Δsharpe -0.564 落在预测带 ±0.4 之外、但在证伪线 -0.6 之内（余量 0.036）。⚠ 该臂一次性合并了 is_buy/is_sell/is_loss 三条出入场规则，故 +0.56 sharpe 无法拆分到止损与均线交叉之间	（2026-09-22 补记）打开两条：overlay 的 +0.56 sharpe 是不是这 5 个名字挑出来的（u-1 规则池 + u-1c 持有组，同一读法「overlay − 暴露×B&H」），以及 +0.56 在三条规则里落在哪一条（u-3 单独关止损）。	u-0c, u-1, u-1c, u-3	
q-2	ablation	第 79 行分仓式 available_cash/(buy_count*1.5) → 恢复作者原意的 /buy_count	annual -0.25pp（→ -0.18%）/ sharpe +0.1090（→ -0.3788）/ maxDD +3.86pp（→ 12.865%，回撤窗与基线完全相同）/ 27 笔（5W/22L）不变 / turnover x1.429 / beta x1.431 / vol x1.371	train 2022-01-01→2023-12-31	仓位在本策略里**scale-invariant 到令人吃惊的程度**：成交账本逐笔不变、avg_trade_return 到小数点后四位相同（+0.1976%）、回撤窗端点逐日相同，maxDD/beta/turnover 三条按**同一个系数 1.429** 等比放大 ⇒ 隐含暴露倍数 k≈1.43、基线只部署了作者原意的约 70%。但更重要的量级是：原意方案自身也只有约 16-36% 投入（对 B&H 的 vol 比 0.356、beta 比 0.159）⇒ **基线常年只有约 11-26% 仓位**，故 9% 的 maxDD 是「没有仓位」而不是风控；近乎现金的形态由**信号稀缺**造成，不是那个 *1.5 的分母 quirk。**结构性陷阱**：sharpe=(annual-rf)/vol ⇒ 抬暴露同比抬高闸门门槛，靠加仓永远走不出 DQ	high	scale-invariant / structural-trap / DQ-all-arms / magnitude-prediction-missed	单行 diff（第 79 行），其余逐字节不变。预注册证伪项 |Δsharpe| > 0.5 **未触发**（实测 0.109）。⚠ 三条量级预测全错、如实记录：预测 annual 上升实测下降、预测 maxDD 20-35% 实测 12.9%、预测 vol/beta 放大 2.5-4x 实测 1.37-1.43x	（2026-09-22 补记）关闭加仓/杠杆作为 improve（scale-invariant + rf 陷阱）；打开唯一 on-mechanism 的杠杆——更多名字（sjb-imp-1，20 只池），且只在 u-1 迁移成立时派发。	sjb-imp-1	
q-3	regime	同一份冻结基类切 2022 / 2023 两个子窗（无代码改动）	2022：annual +8.35% / sharpe +0.4128 / maxDD 6.880%（窗 2022-08-23→09-15，3 周）/ 14 笔（4W/10L）/ P-L 2.6433 / avg_trade +4.219% / vol 0.1053 / alpha +0.0793 ‖ 2023：annual -7.61% / sharpe -2.6502 / maxDD 9.010%（窗 2023-01-30→2023-12-06，10 个月）/ 13 笔（1W/12L）/ P-L 0.1794 / avg_trade -4.133% / vol 0.0438 / alpha -0.0936	2022 与 2023 单年（对照 = 两年锚点）	**预注册的方向性假设被彻底证伪**（它预测 2022 承担 >=16 笔并集中亏损）：镜像成立 —— **2022 是盈利年、2023 是毁灭年**，两年 +0.14% 是 2022 的盈利被 2023 的亏损抵消；所谓「长达一年的回撤」就是**整个 2023**。证伪项（任一单年 sharpe > 1.5）未触发 —— 2022 最高只到 +0.41 ⇒ **这套设计在任何子 regime 都不过闸**，是带强 regime 调制的**结构性失败**，不是 regime 伪影。账本交叉验证干净：14+13=27，且 (14x4.219+13x(-4.133))/27 = +0.198% 精确等于锚点的 +0.1976% ⇒ win_count/lose_count/avg_trade_return 在本家族可信	high（方向与账本一致性）/ low（regime-conditional edge 本身）	falsified-prediction / regime-specific / small-n-27 / DQ-all-arms	同一 baseline.py 跑 2022-01-01→2022-12-31 与 2023-01-01→2023-12-31（2024/VAL 有意未跑）。机理读法：入场（EMA5 上穿 EMA60 且 EMA20 < EMA60）是**底部反转形态**，只在熊市反弹里触发 —— 2022 的急 V 反弹给钱，2023 磨人的假反弹行情把 13 笔里的 12 笔打成亏损。⚠ n=27（14/13）使 P/L 2.64 vs 0.18 的落差**无法与噪声区分**。⚠ 跨家族：这是项目内第 4 个「2022 才是盈利年」的家族，但本策略正是为该形态设计 ⇒ 只记作 consistent-with，不作独立佐证	（2026-09-22 补记）打开 u-2：底部子句（EMA20 < EMA60）单独去掉，检验「只在底部买」是不是 2023 的 1W/12L 的成因；逐年读数改从曲线切（yearly.js）。	u-2	
q-4	ablation	第 143 行倒置的 is_sell（源码测的是金叉，与自身 docstring 的死叉相反）→ 改回 docstring 原意	annual -2.07pp（→ -2.00%）/ sharpe -0.3340（→ -0.8218）/ maxDD +2.98pp（→ 11.983%，窗 2022-08-23→2023-11-29）/ 27 笔（7W/20L）/ win 25.93% / P-L 0.7348（基线 1.0548）/ avg_trade_return -0.9219%（基线 +0.1976%）/ 持有期变短	train 2022-01-01→2023-12-31	**证伪项（sharpe >= 2.5 或 annual > +10%）未触发 —— 仍 DQ，且各轴明显更差。** 假设一半确认（笔数纹丝不动 27、胜率上升但仍低于 40%、仍 DQ）一半**反转**：profit_loss_ratio 不升反**降**到 0.735（预测 >1.4）、持有期不升反**降**。读法：倒置的条件是在上涨途中的**强势**里触发的，因此它一直在**充当一条意外的止盈规则**；把它「修正」回 docstring 反而让家族**离闸门更远** ⇒ 这是一处**文档缺陷、不是失效机理**	high	NOT-KEPT-diagnosis-only / falsified-prediction / DQ-all-arms	单行 diff（第 143 行），其余逐字节不变。⚠ 按 study/program.md 红线：本变体**不保留、不晋升、绝不可称为「更好」**，它只作诊断存在；且它本身也是 DQ，不构成任何可选方案	（2026-09-22 补记）关闭「把 is_sell 改回 docstring」作为 improve；is_sell 保持倒置。三条规则里只剩止损未单独测（u-3）。	u-3	
baseline-e6	baseline	基类 7d1012a5 在 epoch 6 上的锚点（源码 + live OVERRIDE；ledger 此前只有 epoch-2 行）	vs ledger epoch-2 行：total 0.14 = 0.14 · annual 0.07 = 0.07 · sharpe −0.49 = −0.49 · maxDD 9.00 = 9.00 · obj −0.0893；逐年 2022 +8.07（maxDD 6.88，窗止 09-16）/ 2023 −7.34（8.90，窗止 12-07），与 q-3 的单年数字一致	train 2022-01-01→2023-12-31（729d / 484 交易日）	epoch-6 锚点逐位复现 epoch-2 的归档行：源码自设的 stock 成本表与 bench 逐项相同（epoch-6 pin 是 no-op），滑点在 epoch 2 已被 OVERRIDE 归零，order_volume_ratio 0.25→0.05 对 5 只创业板大票、11–26% 的仓位不卡单。q-3 的 regime 读数原样成立：2022 +8.1%，2023 −7.3%	high	anchor · pins-no-op · same-bench-as-epoch-2 · DQ（sharpe −0.49）	study/三进兵/baseline-e6.py（build-e6.js 生成）；algorithmId 3098c0a48412906f667e082e5761c727；SUMMARY train 2022-01-01 2023-12-31 729 0.14 0.07 -0.49 9.00 completed；57 秒；曲线 data/series/study_三进兵_baseline-e6__train__e6.json	关闭「epoch-2 的 q-1 / q-2 / q-3 / q-4 需要在 epoch 6 上重测」：同一台上的读数，直接引用。打开 u-0c——q-1 的持有控制组只有 epoch-2 的标量、没有曲线，而本轮要按「overlay − 暴露×持有」逐年读，需要同台曲线	u-0c	
u-0c	isolate	q-1 的持有控制组（作者 5 只首日等权买入持有，不再交易）在 epoch 6 上复跑——baseline / u-2 / u-3 的等暴露基准曲线	vs 锚点：obj −0.0893→−0.7826 · annual 0.07→−27.89 · sharpe −0.49→−1.05 · maxDD 9.00→50.37（+41.37）· total 0.14→−47.96；逐年 2022 −32.37（maxDD 48.99）/ 2023 −23.05（38.88）；total / sharpe / maxDD 与 q-1 逐位相同	train 2022-01-01→2023-12-31（729d / 484 交易日）	q-1 逐位复现（−47.96 / −1.05 / 50.37）。逐年新内容：作者篮子两年都比创业板指差（2022 −32.4 vs 指数约 −29，2023 −23.1 vs 约 −19）。用它读锚点：baseline 暴露 0.260（2022 0.305 / 2023 0.158），等暴露期望 0.26×(−47.96) = −12.5%，实测 +0.14% ⇒ overlay 两年带来 +12.6pp 的择时信息——全部在 2022（+17.9pp），2023 为 −3.7pp	high	control-arm · reproduces-q-1 · exposure-reading-established · hindsight-basket	variants/u-0c_hold-author-basket.py（trade_func 换成持有体，池不动）；algorithmId 364cd119bbe0af6aca2533485efe7dd2；SUMMARY train 2022-01-01 2023-12-31 729 -47.96 -27.89 -1.05 50.37 completed；21 秒；曲线 data/series/study_三进兵_variants_u-0c_hold-author-basket__train__e6.json；暴露与逐年 Δ 由 study/三进兵/yearly.js 从曲线算	把 q-1 的「+0.56 sharpe」换成可跨池比较的量：+12.6pp/两年 @ 暴露 0.26，且 2023 为负。之后每个臂都按这个读法量（u-1 系列对各自持有组，u-2 / u-3 对本条）；sharpe 在 rf 4% 下对低暴露负收益的书系统性偏低，不再作为臂间比较的主指标	u-1, u-3	趋势择时
u-1	regime	同一 overlay 换到规则池 1：2021-12-31 创业板指成分按市值前 5（initialize 内查询，数据止于 TRAIN 前）；hold_count 5、三条规则、分仓不动	vs 锚点：obj −0.0893→−0.2187（−0.1294）· annual 0.07→−6.27 · sharpe −0.49→−1.65 · maxDD 9.00→15.60（+6.60）· total 0.14→−12.13；逐年 2022 −4.57（maxDD 9.47）/ 2023 −7.92（11.11）；对 u-1c：暴露 0.269（0.273 / 0.258），等暴露 Δ 两年 −1.8pp（2022 +1.8 / 2023 −2.9）	train 2022-01-01→2023-12-31（729d / 484 交易日）	池 1 上 overlay 的读数恰好等于「等暴露随机在场」：期望 0.269×(−38.37) = −10.3%，实测 −12.13%，Δ −1.8pp，两年都在 ±3pp 内。预注册的证伪项（Δsharpe ≤ 0）触发：Δsharpe −0.54。在这 5 个名字上，overlay 没有任何超出暴露缩放的信息	high（本池）/ low（单池外推）	edge-test-ran · zero-information-on-this-pool · falsification-triggered · single-pool · DQ	variants/u-1_pool-transfer.py（池行换成 get_index_stocks(399006, 2021-12-31) + get_fundamentals market_cap 降序 limit 5）；algorithmId f5e24d0527ed9be6addb069cdb040d95；SUMMARY train 2022-01-01 2023-12-31 729 -12.13 -6.27 -1.65 15.60 completed；56 秒；曲线 data/series/study_三进兵_variants_u-1_pool-transfer__train__e6.json	一个 5 名池上的零读数与作者当年「挑到有效的名字」是同一类抽样——证伪不能建在一个池上。打开 u-1b：同一规则不相交的第 6–10 名 + 自己的持有组；两池同号才下结论	u-1b	趋势择时
u-1c	isolate	u-1 池的持有控制组（规则池 1 首日等权持有）	vs 锚点：obj −0.0893→−0.6182 · annual 0.07→−21.52 · sharpe −0.49→−1.11 · maxDD 9.00→40.30 · total 0.14→−38.37；逐年 2022 −23.44（maxDD 31.53）/ 2023 −19.50（29.34）	train 2022-01-01→2023-12-31（729d / 484 交易日）	规则池 1（创业板指市值前 5）持有两年 −38.4%，比作者篮子（−48.0%）好 10pp、与创业板指（约 −43%）同量级——规则池不是一个被挑坏的篮子	n/a（控制臂）	control-arm	variants/u-1c_hold-on-pool.py；algorithmId a7ba0ecba84358c2549abd3db2a42e04；SUMMARY train 2022-01-01 2023-12-31 729 -38.37 -21.52 -1.11 40.30 completed；15 秒；曲线 data/series/study_三进兵_variants_u-1c_hold-on-pool__train__e6.json	给 u-1 的等暴露读数一个基准；它本身不改变任何方向。规则池的持有比作者篮子好 10pp，说明 u-1 的零读数不是「池子太差没得救」	none	
