qId	type	component_or_param	metric_delta	window	finding	confidence	flags	description	implication	spawned	edgeRef
q-struct	probe	家族成员计数：c70281d3 的 4358 行「分仓隔离插件」是否真的运行（零回测，逐行读源码）	Δ 不适用（零回测）。ledger 对照：c70281d3 epoch-6 行 annual 192.66 / sharpe 11.20 / maxDD 8.18 / obj 1.8448 vs fa0d3bd9 锚点 195.74 / 11.15 / 9.82 / 1.8592 ⇒ Δobj −0.014、annual −3.1pp、maxDD −1.6pp	—	c70281d3 第 143 行与第 4355 行是一对模块级 '''：其间 4,200 行（第二个 initialize、subPortfolio/subPosition/subOrder 类、「小市值策略A」、PTrade 兼容层）全部在字符串字面量里，从不执行。真正跑的是 1–142 行：与 fa0d3bd9 同一 ETF 折价 sleeve（band 5e6–2e7、premium<0、top-10、|premium| 加权），差异只有三处——09:30 的 last_price 取代 09:25 的 day_open 作信号、多一个 09:30/14:59 的 −5% 止损 / +10% 止盈、order_target_value 直下不走交易计划。ledger 上两者 obj 只差 0.014，三处差异合起来近乎惰性。家族 = 一份代码体；「四大策略并行 / 自有账本 / 分仓隔离」是标题，不是被回测的东西	high	member-count-inflated · dead-code · zero-cost-probe · stub-concepts-wrong（c70281d3 桩页标了 小市值因子/打板与涨停，描述的是死代码）	grep 模块级三引号（143 / 1497 / 1520 / 4355 行）与 def initialize（10 / 159 行）；两份源码 1–142 行 diff 逐行核对。本行无 algorithmId	关闭「c70281d3 是多策略、要拆它的子策略」（pre-wipe §4 第一条）：没有子策略可拆。家族的独立证据量 = 1 份代码体、2 次归档；一切 Δ 只需对 fa0d3bd9 的锚点量。同时关闭「借 c70281d3 的止损止盈到基类」作为 improve——ledger 已经量了，−0.014	baseline-e6	
baseline-e6	baseline	基类 fa0d3bd9 在 epoch 6 上的锚点（源码 + live OVERRIDE；ledger 只有 epoch 2 / 4 行）	vs ledger epoch-4 行：total 772.01 = 772.01 · annual 195.74 = 195.74 · sharpe 11.15 = 11.15 · maxDD 9.82 = 9.82 · obj 1.8592，逐位复现；vs epoch-2 行：annual 369.07 → 195.74（−173pp）· sharpe 18.16 → 11.15 · maxDD 9.55 → 9.82；逐年 2022 +300.50（maxDD 9.82 · vol 0.2253 · sharpe~ 6.34 · 上涨日 164/241）/ 2023 +121.38（maxDD 2.69 · vol 0.1181 · sharpe~ 6.68 · 159/242）	train 2022-01-01→2023-12-31（729d / 484 交易日）	epoch-6 锚点逐位复现 epoch-4 行（纯 ETF 书，epoch 6 的股票费率 pin 是 no-op）。腰斩发生在 epoch 4：对这本书 epoch 4 只咬两处——order_volume_ratio=0.05 与基金费率 0.00025→0.0003；费率差每边 0.00005、每日近乎全换，两年合计约 5%，解释不了 annual −173pp ⇒ epoch-2 的 369% 里约一半是「一笔单吃掉薄基金一天成交量 5% 以上」的成交，是容量，不是信号。两年都强正：2022（熊）+300%、2023 +121%，回撤全在 2022（9.82 vs 2.69），2023 的 vol 只有 2022 的一半	high	anchor · reproduces-epoch-4 · participation-cap-halves-return · capacity-not-signal · both-years-positive · gate-pass（sharpe 11.15）	study/PT多策略/baseline-e6.py（build-e6.js 生成）；algorithmId f541f7a6ca2d15f8682c03ebcd0cd423；SUMMARY train 2022-01-01 2023-12-31 729 772.01 195.74 11.15 9.82 completed；6 JQ 分钟（used 88 → 94）；曲线 data/series/study_PT多策略_baseline-e6__train__e6.json，yearsplit.js 逐年	关闭「引用 pre-wipe epoch-2 q-1 的数字」：参与上限改变的正是 band 这件事本身，band sweep 必须在本台重跑（u-1 / u-2 已排）。打开 realizability 的定量读法：仅仅把成交限在成交量 5% 就少一半，任何 VAL 预期与整合层估值都应从 196% 而不是 369% 起算，而且 5% 对开盘集合竞价上的薄 ETF 仍然偏宽	u-1, u-2, u-6	流动性溢价
u-1	sweep	edge test 流动性溢价 (a)：同一规则、同一权重、同一 top-10，成交额 band 5e6–2e7 → 5e7–1e8（流动基金），一行	vs 锚点：obj 1.8592→0.0076（−1.8516）· annual 195.74→22.74（−173.0pp）· sharpe 11.15→0.94 · maxDD 9.82→21.98（+12.2pp）· total 772.01→50.56 · 逐年 2022 +300.50→+14.53（maxDD 9.82→21.98 · sharpe~ 6.34→0.55）、2023 +121.38→+30.57（2.69→10.77 · 6.68→1.43）；pre-wipe epoch-2 同臂 obj 0.0535 / sharpe 1.09	train 2022-01-01→2023-12-31（729d / 484 交易日）	搬到流动 band 后同一折价规则只剩年化 22.7%、sharpe 0.94、回撤 22%——过不了 1.5 闸门，obj 归零。但没有变负：两年各 +14.5% / +30.6%，仍是正的。与 epoch-2 的同臂读数（0.05 / 1.09）一致，参与上限没有改变这条结论。折价信号在流动 ETF 上是一个弱的、DQ 的信号；把它做成 sharpe 11 的，是薄 band	high	edge-test-ran · liquid-band-DQ · both-years-still-positive · reproduces-epoch-2-reading · DQ	variants/u-1_band-liquid.py（一行 diff）；algorithmId 4341c478ed9f2231766cd2e6db95340c；SUMMARY train 2022-01-01 2023-12-31 729 50.56 22.74 0.94 21.98 completed；4 JQ 分钟（94 → 98）；曲线 data/series/study_PT多策略_variants_u-1_band-liquid__train__e6.json	流动性溢价 的 (a) 臂跑了、未证伪；等 (b) 臂 u-2 再定 status。关闭「把 sleeve 移植到流动基金」作为 improve：那是 obj 0.008 的书。同时把 realizability 判决写成数字：唯一能真实成交的 band 上，这条血统是年化 23% / 回撤 22% 的东西，任何整合层引用都应按这个数而不是 196%	none	流动性溢价
u-2	sweep	edge test 流动性溢价 (b)：去掉 2e7 上界、保留 5e6 下界（流动基金可以挤进 top-10），一行	vs 锚点：obj 1.8592→1.8055（−0.0537）· annual 195.74→194.54（−1.2pp）· sharpe 11.15→9.30 · maxDD 9.82→13.99（+4.2pp）· total 772.01→764.97 · 逐年 2022 +300.50→+278.27（maxDD 9.82→13.99）、2023 +121.38→+129.77（2.69→5.39）；pre-wipe epoch-2 同臂 obj 2.8897（−0.71 vs 3.5955）	train 2022-01-01→2023-12-31（729d / 484 交易日）	放开上界后收益几乎不动（annual −1.2pp），回撤 +4.2pp、sharpe −1.85。在 epoch 2（无参与上限）同一臂丢了 0.71 obj，现在只丢 0.05：有了 5% 上限之后，上界对「选谁」几乎不起作用——最深折价本来就在薄基金里，top-10 by 折价深度基本还是那些名字；偶尔挤进来的流动基金带来的是回撤（2022 13.99 vs 9.82），不是收益。上界是一道回撤过滤器，不是收益来源	high	edge-test-ran · ceiling-is-drawdown-filter · return-invariant · gate-pass（sharpe 9.30）	variants/u-2_band-nocap.py（一行 diff）；algorithmId 1298b726231f20fb71c30b429187e578；SUMMARY train 2022-01-01 2023-12-31 729 764.97 194.54 9.30 13.99 completed；3 JQ 分钟（98 → 101）；曲线 data/series/study_PT多策略_variants_u-2_band-nocap__train__e6.json	流动性溢价 升 measured：(a) 只留流动基金 → 塌到 DQ（u-1）；(b) 放流动基金进来 → 收益不变、只加回撤（u-2）。收益活在 band 的下端（薄），不在上界的「排除」里；关闭「2e7 上界是诀窍」的读法。打开 pt-imp-1：从下端反过来问——丢掉 band 最薄的一半（下界 5e6 → 1e7），收益跟着薄尾走还是回撤跟着走	pt-imp-1	流动性溢价
u-6	regime	基类曲线逐年拆（2022 熊 / 2023 震荡），零回测，读 baseline-e6 的曲线	2022：total +300.50 · maxDD 9.82 · vol 0.2253 · sharpe~ 6.34 · 上涨日 164/241（68%）‖ 2023：total +121.38 · maxDD 2.69 · vol 0.1181 · sharpe~ 6.68 · 159/242（66%）；复利校验 4.0050 × 2.2138 = 8.867 ≈ 1 + 7.7201 ✓	train 2022-01-01→2023-12-31（729d / 484 交易日）	两年同号强正，没有「2022 专属」：熊市年赚得更多（+300 vs +121）也承担全部回撤（9.82 vs 2.69）；2023 的 vol 只有 2022 的一半，风险调整后两年几乎一样（sharpe~ 6.3 / 6.7）。上涨日占比两年都在 2/3——这是一个每天赚一点、极少大亏的分布，与 多因子ML / 打板短线 / 大小盘轮动 那条「收益集中在 2022」的模式不同，也与 网格 的「99% 在一个半年」不同	high	both-years-positive · not-regime-carried · vol-halves-in-2023 · zero-cost	yearsplit.js 读 data/series/study_PT多策略_baseline-e6__train__e6.json（cum 链式换算，不差分）。本行无新 algorithmId（同 baseline-e6）	关闭「TRAIN 内部 regime 承载」：两年各自都过闸，本轮不需要再花子窗回测。打开的唯一 regime 检验是 VAL 2024–25（2024-02 微盘踩踏对薄 ETF 的开盘折价是未知的一课）——本家族的一次 VAL 应留给基类或 on-mechanism 候选，不留给任何改 band 的变体	none	
u-3	ablation	edge test 均值回归 by mirror：同一薄 band、同一 |premium| 加权、同一 top-10，只把信号翻成买最高溢价（premium>0，降序），两行	vs 锚点：obj 1.8592→−1.6164（−3.4756）· annual 195.74→−70.42（−266pp）· sharpe 11.15→−5.24 · maxDD 9.82→91.22（+81.4pp）· total 772.01→−91.22 · 逐年 2022 +300.50→−79.25（maxDD 9.82→79.29 · 上涨日 164→37/241）、2023 +121.38→−57.48（2.69→57.48 · 159→30/242）；对数尺度 ln(8.72)=+2.17 vs ln(0.088)=−2.43，近似对称	train 2022-01-01→2023-12-31（729d / 484 交易日）	镜像两年亏掉 91%：买开盘价高于净值最多的薄 ETF，两年只有 14% 的交易日是涨的（基类 68%）。对数尺度上基类 +2.17 与镜像 −2.43 近似对称——收益就是「开盘价对净值的偏离在当天/次日回归」这一件事：折价方向赚，溢价方向亏，量级相同。这是 均值回归（对 NAV）能给出的最强形态	high	edge-test-ran · mirror-collapses · log-symmetric · both-years-same-sign · 14%-up-days	variants/u-3_mirror-premium.py（两行 diff：排序降序 + premium>0）；algorithmId 6a73a79e9a52258eea3b263451dd7cfb；SUMMARY train 2022-01-01 2023-12-31 729 -91.22 -70.42 -5.24 91.22 completed；3 JQ 分钟（101 → 104）；曲线 data/series/study_PT多策略_variants_u-3_mirror-premium__train__e6.json	均值回归 的镜像臂跑了且未证伪（等 u-4 的无信号控制组定 status）。关闭「薄 ETF universe 本身有回弹/beta」的读法：若是 universe，镜像不会塌到 −91%。同时打开 realizability 的机制问题——信号是 09:25 的集合竞价开盘价，回归发生在开盘之后；一本在开盘价上按成交量 5% 成交的书，实际买到的是集合竞价那一笔的价格，而薄 ETF 的集合竞价成交量远小于全天的 5%	none	均值回归
u-4	isolate	无信号控制组：同一薄 band，premium 一行换成 −1e7/money（不含 NAV 信息，最薄在前、过滤全过）+ 等权（两处一个概念）——持最薄 10 只等权、每日按薄度换仓	vs 锚点：obj 1.8592→−0.6734（−2.5326）· annual 195.74→−24.04（−219.8pp）· sharpe 11.15→−1.71 · maxDD 9.82→43.30（+33.5pp）· total 772.01→−42.26 · 逐年 2022 +300.50→−22.41（maxDD 9.82→25.58 · 上涨日 101/241）、2023 +121.38→−24.61（2.69→31.35 · 105/242）	train 2022-01-01→2023-12-31（729d / 484 交易日）	拿掉 NAV 信息、只持 band 里最薄的 10 只等权，两年亏 42%、回撤 43%，两年同号为负。薄 universe 本身不赚钱，它亏钱（最薄的 ETF 是在萎缩/清盘边缘的基金，加上每日换仓的往返）。分解：universe −42% / 折价信号 +772% / 镜像 −91%——收益全部来自信号，universe 是它的载体而非来源	high	edge-test-ran · control-negative · both-years-same-sign · universe-is-carrier-not-source	variants/u-4_universe-control.py（两处 diff）；algorithmId 62cdb724204763391937f715e8991294；SUMMARY train 2022-01-01 2023-12-31 729 -42.26 -24.04 -1.71 43.30 completed；3 JQ 分钟（104 → 107）；曲线 data/series/study_PT多策略_variants_u-4_universe-control__train__e6.json	均值回归 升 measured（u-3 镜像 −91%、u-4 无信号 −42%、基类 +772%，三臂两年同号）：这条血统的 edge 是「薄 ETF 的集合竞价开盘价对净值的偏离会回归」，信号承重、universe 不承重。与 流动性溢价 合读：薄不是为了持有薄基金，而是因为只有薄基金的开盘价才会偏离净值那么远——两条 edge 是同一件事的两面（偏离的幅度由薄度供给，方向由 NAV 供给）。关闭一切「换 universe 保信号」的 improve（u-1 已量：流动基金上偏离太小）	none	均值回归
u-5	ablation	权重：|premium| 加权 → 等权，一行（band / 过滤 / top-10 不动）	vs 锚点：obj 1.8592→1.7020（−0.1572）· annual 195.74→178.93（−16.8pp）· sharpe 11.15→10.37 · maxDD 9.82→8.73（−1.1pp）· total 772.01→675.82 · 逐年 2022 +300.50→+251.38（maxDD 9.82→8.72）、2023 +121.38→+124.50（2.69→2.73）	train 2022-01-01→2023-12-31（729d / 484 交易日）	等权少赚 17pp 年化、回撤只浅 1.1pp：折价深度有边际信息——最深折价的名字回归得更多，把资金压向它们是对的。差额几乎全在 2022（+300 vs +251），2023 持平（+121 vs +125）：深折价在熊市里更深、回归也更大。不是惰性（|Δobj| 0.16 > 0.05 的阈）	high	depth-weighting-informative · 2022-concentrated-gain · gate-pass-both-arms	variants/u-5_equal-weight.py（一行 diff）；algorithmId f6c514a66fdaa2202efd3851976c32a0；SUMMARY train 2022-01-01 2023-12-31 729 675.82 178.93 10.37 8.73 completed；3 JQ 分钟（107 → 110）；曲线 data/series/study_PT多策略_variants_u-5_equal-weight__train__e6.json	关闭「等权作为降回撤的 improve」：换来的 −1.1pp 回撤买不回 −17pp 年化。打开的是 pt-imp-2 的反向读法：既然深度有信息，集中到 top-5 应至少不降——若 top-5 反而降，那是 5% 参与上限在薄名字上填不满，作者放宽到 10 是对的	pt-imp-2	均值回归
pt-imp-1	improve	下界 5e6 → 1e7、保留 2e7 上界（丢掉 band 最薄的一半），一行——on-mechanism 于 流动性溢价，方向是可实现性变好的方向	vs 锚点：obj 1.8592→1.2859（−0.5733）· annual 195.74→137.68（−58.1pp）· sharpe 11.15→7.29 · maxDD 9.82→9.09（−0.7pp）· total 772.01→463.60 · 逐年 2022 +300.50→+181.24（maxDD 9.82→9.09）、2023 +121.38→+102.50（2.69→4.33）	train 2022-01-01→2023-12-31（729d / 484 交易日）	丢掉最薄一半，年化少 58pp、回撤只浅 0.7pp：收益跟着薄尾走，回撤不跟。三档 band 单调：5e6–2e7 年化 196 / 1e7–2e7 138 / 5e7–1e8 23——越可成交越少赚，没有 ETF溢价 q-1 那种「下界过松、收紧反而更好」的甜点。ETF溢价 的 2e6 是股数下界、本家族的 5e6 是成交额下界，两者不是同一个量，甜点不迁移	high	rejected · monotone-in-thinness · no-sweet-spot · gate-pass（sharpe 7.29）· realizability-veto-stands	enhance/candidates/pt-imp-1.py（一行 diff）；algorithmId 9f8423adaf9ba0348e9e55888bc037c4；SUMMARY train 2022-01-01 2023-12-31 729 463.60 137.68 7.29 9.09 completed；2 JQ 分钟（110 → 112）；曲线 data/series/enhance_candidates_pt-imp-1__train__e6.json	关闭 band 下界作为 improve（收紧单调变差；放松 = 走向 5% 参与上限也填不满的更薄名字，是容量幻觉）。流动性溢价 的 evidence 补上第三臂：band 三档单调。整合层引用本家族时，「可实现的版本」应按 1e7–2e7 的 138%/7.29 或 u-1 的 23%/0.94 估，取决于愿意假设多薄的名字能在开盘价成交	none	流动性溢价
pt-imp-2	improve	top-10 → top-5（作者从 5 放宽到 10「以求尽可能多地成交」），一行——on-mechanism 于 均值回归（集中到最深折价）	vs 锚点：obj 1.8592→1.7191（−0.1401）· annual 195.74→181.58（−14.2pp）· sharpe 11.15→10.49 · maxDD 9.82→9.67（−0.2pp）· total 772.01→690.61 · 逐年 2022 +300.50→+317.80（maxDD 9.82→9.67）、2023 +121.38→+92.35（2.69→2.74）	train 2022-01-01→2023-12-31（729d / 484 交易日）	集中到 top-5 少赚 14pp、回撤不变；2022 反而多赚 17pp，2023 少赚 29pp。与 u-5 合读：深度有信息（加权 > 等权）但集中到 5 只不如 10 只——第 6–10 名在 2023 贡献正收益，因为 5% 参与上限下最深的 5 只吃不下全部资金（2023 vol 从 0.118 降到 0.098 = 资金留在现金里）。作者的放宽是填单宽度，不是分散	high	rejected · fill-width-not-diversification · 2023-cash-drag · gate-pass（sharpe 10.49）	enhance/candidates/pt-imp-2.py（一行 diff）；algorithmId 065bd38bc8fc55338fd7ef5b48dc0e52；SUMMARY train 2022-01-01 2023-12-31 729 690.61 181.58 10.49 9.67 completed；3 JQ 分钟（112 → 115）；曲线 data/series/enhance_candidates_pt-imp-2__train__e6.json	关闭集中度作为 improve（top-5 变差；top-N > 10 = 更浅的折价，u-2 已示范流动名字只加回撤）。improve 队列清空：band 上界（u-2）、下界（imp-1）、权重（u-5）、集中度（imp-2）四个 on-mechanism 旋钮都不优于原值，基类 fa0d3bd9 是这条血统在 epoch 6 上的最优点。本家族的一次 VAL 花在基类上	val-base-e6	均值回归
